Brand,Color,Price,no_of_star,rating,discount,Ton,annual_electricity_Consumption
CARRIER,White,38760,3,3.8,37,1.5,1015.62
Hitachi,White,45999,5,4.2,33,1.5,968.61
MarQ,White,19999,3,4.2,55,1.5,1049.79
Daikin,White,26900,3,4,10,0.8,752.43
Voltas,White,69990,4,4.2,33.66,1.5,1123.23
Voltas,White,39999,5,3.4,48,1.5,577.43
Haier,White,35690,3,4,45,1.6,824.08
Hitachi,White,45799,5,4.2,24,1.5,1050.84
SAMSUNG,White,40499,4,4.1,40,1.5,1123.23
Hitachi,White,56499,4,4.2,34,1.8,624.48
SAMSUNG,White,42500,3,4.2,32,1.5,962.49
Godrej,White,31490,3,4.1,38,1.5,1123.77
SAMSUNG,White,40500,3,4.2,15,1.5,686.48
LG,White,45190,5,3.4,31,1.5,704.42
SAMSUNG,White,42000,3,4.2,34,1.5,1134.28
Voltas,White,38999,3,4.2,43,1.5,589.14
Voltas,White,33999,3,4.1,44,1.5,1015.62
Godrej,White,31900,3,4.2,41,1.5,752.43
SAMSUNG,White,41990,5,4.1,40,1.5,824.08
ONIDA,White,42500,3,4.2,32,1.5,1050.84
Godrej,White,32499,3,4.2,24,1.5,624.48
Haier,White,37485,4,4.2,42,1.5,1123.77
Daikin,White,42900,3,4.3,15,1.5,686.48
Whirlpool,White,32499,3,4.1,39,1.5,704.42
Panasonic,White,44990,5,4.2,17,1.5,589.14
Lloyd,White,38400,3,4.2,9,1.5,1015.62
Hitachi,White,31690,3,4,8,1.5,968.61
Blue star,White,48000,5,4.4,23,1.5,1114.71
Lloyd,White,37399,3,4.3,37,1.5,752.43
CARRIER,White,37580,5,3.9,35,1.5,1123.23
Lloyd,White,38400,3,4.2,37,1.5,577.43
Lloyd,White,28790,4,4.2,26,1.5,824.08
LG,White,46500,4,4.2,43,1.5,1050.84
Lloyd,White,32910,3,4.3,37,1.25,624.48
Blue star,White,40999,3,4.4,17,1.5,962.49
Voltas,White,47540,3,4.2,42,1.5,624.48
LG,White,37850,3,3.8,36,1.5,1123.77
Daikin,White,63799,5,4,21,1.5,686.48
CARRIER,White,46500,5,4.4,26,1.5,704.42
SAMSUNG,White,47499,5,4.2,37,1.5,1134.28
Daikin,White,45199,3,4.4,13,1.5,968.61
Lloyd,White,38500,3,4.1,36,1.5,1114.71
Voltas,White,39999,5,4.2,47,1.5,752.43
SAMSUNG,White,43490,5,4.2,33,1.5,1123.23
CARRIER,White,42500,3,4.2,37,1.5,1123.23
LG,White,48199,5,4.7,36,1.5,624.48
Daikin,White,46499,2,4.1,10,1.8,962.49
Blue star,White,40500,4,4.3,33,1.5,1123.77
Thomson,White,28999,2,4.1,27,1.5,686.48
CARRIER,White,42500,3,4.2,37,1.5,1015.62
LG,White,48199,5,4.7,36,1.5,968.61
Blue star,White,42500,3,4.1,23,1.5,752.43
Lloyd,White,35200,5,3.6,23,1.5,577.43
IFB,White,40500,3,4.3,18,1.5,824.08
ONIDA,White,42500,5,4.4,30,1.5,1050.84
Lloyd,White,36599,3,4.2,30,1.5,1123.23
O-General,White,65000,5,3.5,7,1.5,624.48
Daikin,White,49199,5,4.5,20,1.5,962.49
Panasonic,White,49900,5,4.2,25,1.5,1123.77
Godrej,White,40500,5,4,27,1.5,686.48
Blue star,White,42500,3,4.2,27,1.5,704.42
LG,Floral,55999,3,4.3,33.66,1.5,589.14
Hitachi,White,45399,3,3.9,38,1.8,1015.62
Daikin,White,42500,3,4.3,1,1.5,968.61
Daikin,White,50400,5,4.2,9,1.5,1114.71
Hitachi,Gold,52699,3,4,33.66,1.5,1049.79
Panasonic,White,62000,4,2.3,33.66,2.2,752.43
IFB,White,40500,3,4.3,18,1.5,577.43
Blue star,White,43900,5,4.2,12,1.5,1050.84
LG,White,50900,5,4.2,36,1.5,1123.23
CARRIER,Beige,78000,5,4,2,1.5,1123.77
LG,White,50500,5,4.4,24,1.5,686.48
Blue star,White,33800,3,4.4,32,1.2,1134.28
Lloyd,White,60990,5,2.8,33.66,1.5,589.14
LG,Multicolor,52390,5,4.3,32,1.5,968.61
Blue star,White,38999,5,3.8,22,1.5,1114.71
Voltas,White,61990,3,4.4,33.66,1.5,1049.79
Lloyd,White,27290,3,4.1,33,1.5,752.43
Panasonic,White,39000,4,4.1,1,1.5,824.08
Voltas,White,40990,5,4.2,33.66,1.5,1050.84
Daikin,White,44316,4,4.3,27,1.5,1123.23
MOTOROLA,Silver,37999,3,4.4,18,1.5,962.49
