Brand,Color,Price,no_of_star,rating,discount,Model,Ton,annual_electricity_Consumption
Hitachi,White,26334,3,4.1,47.0,,1.5,
Lloyd,White,36990,3,3.8,39.0,,1.5,704.42
SAMSUNG,White,36780,3,4.7,39.0,2023,1.5,1134.28
TOSHIBA,White,30798,5,4,38.0,,,589.14
LG,White,49990,5,,39.0,2023,1.5,1015.62
Hisense,White,31990,5,4.2,15.0,,,
Blue,White,31490,3,,39.0,,,968.61
Lloyd,White,36999,5,,26.0,,,
IFB,,41490,4,4.2,24.0,2023,1.5,1114.71
Lloyd,White,49500,3,3.9,28.0,,,1049.79
CARRIER,White,43880,5,4.8,13.0,,1.5,752.43
Daikin,White,33990,,,29.0,,,1123.23
Panasonic,White,38990,3,,35.0,2023,1.5,577.43
MarQ,White,15999,3,4.3,60.0,,,824.08
SAMSUNG,White,36900,3,,41.0,2023,1.5,1050.84
Blue,White,59999,5,4.4,25.0,,,1123.23
LG,White,48990,5,,43.0,2023,1.5,624.48
SAMSUNG,White,45990,5,,11.0,2023,1.5,962.49
Hitachi,White,35549,2,,34.0,,1.5,624.48
Lloyd,White,38975,4,4.4,35.0,,1.5,1123.77
SAMSUNG,White,45990,5,,11.0,2023,1.5,
Voltas,White,35999,3,4.1,47.0,2023,1.5,686.48
Panasonic,White,36139,3,,34.0,2023,1.5,
LG,White,42990,3,4.5,39.0,,1.5,
Blue,White,51490,5,,33.0,,1.5,
MarQ,White,27990,3,4.2,28.0,,1.5,704.42
Daikin,White,52250,3,3.9,17.0,,1.8,1134.28
Lloyd,White,29590,3,4.8,27.0,,1.5,589.14
SAMSUNG,White,64990,4,,,,1.5,1015.62
Panasonic,White,36750,3,4.7,33.0,2023,1.5,
Blue,White,43490,,,37.0,,1.5,968.61
Blue,White,39999,3,4.2,9.0,,,
Blue,White,35699,3,4.1,31.0,,1.5,1114.71
Blue,,39399,2,4.2,24.0,2023,1.5,1049.79
Godrej,White,34899,,,36.0,2023,1.5,752.43
Voltas,White,37449,3,3.7,44.0,,1.5,1123.23
Voltas,White,30449,3,4.2,46.0,2023,,577.43
Blue,White,49399,5,,32.0,,1.5,824.08
CARRIER,White,37350,3,,39.0,,1.5,1050.84
LG,White,39699,,4.8,41.0,2023,1.5,1123.23
Lloyd,White,36999,5,,43.0,,,624.48
MOTOROLA,Silver,30793,3,4.4,49.0,,,962.49
SAMSUNG,White,43990,5,,21.0,2023,1.5,624.48
Lloyd,White,38975,4,4.4,35.0,,1.5,1123.77
CARRIER,White,30450,3,4.8,32.0,,1.5,
Blue,White,39890,3,4.8,35.0,,1.5,686.48
Blue,White,59891,5,2,28.0,,,
Hitachi,Gold,46490,5,4,41.0,,,
SAMSUNG,White,41000,3,4.8,14.0,,,
Daikin,White,50815,3,,30.0,,1.8,704.42
Sansui,White,31500,,,45.0,2023,1.5,1134.28
Panasonic,White,40441,5,4.4,29.0,,1.5,589.14
LG,White,49999,,,34.0,,1.5,1015.62
Hitachi,,33145,3,4,28.0,2023,,
Panasonic,White,37200,3,4.1,31.0,,1.5,968.61
O,White,34299,4,2,6.0,,,
realme,White,35499,5,4.2,45.0,2023,1.5,1114.71
LG,White,45954,4,,36.0,,1.5,1049.79
CANDY,White,33990,5,5,29.0,2023,1.5,752.43
Panasonic,White,32490,3,,32.0,,,1123.23
SAMSUNG,White,44900,5,3.7,38.0,,1.5,577.43
Daikin,White,44800,4,4.2,23.0,,1.5,824.08
Voltas,White,44300,5,4.5,37.0,,1.5,1050.84
Voltas,White,51990,3,,,,1.5,1123.23
Panasonic,White,40299,3,,32.0,2023,1.5,624.48
Voltas,White,29200,3,3.8,48.0,,,962.49
Daikin,White,44800,4,4.2,23.0,,1.5,624.48
Voltas,White,51990,3,,,,1.5,1123.77
Voltas,White,44300,5,4.5,37.0,,1.5,
Panasonic,White,40299,3,,32.0,2023,1.5,686.48
Voltas,White,29200,3,3.8,48.0,,,
Voltas,White,31990,3,4.2,30.0,,,
Hitachi,White,39799,3,3.7,31.0,,1.5,
CARRIER,White,46990,5,,38.0,,1.5,704.42
O,White,50900,2,,7.0,,,1134.28
MOTOROLA,Silver,37999,3,4.4,18.0,,1.5,589.14
Lloyd,White,24990,2,3.9,37.0,,,1015.62
TOSHIBA,White,56990,5,1,20.0,,1.5,
Voltas,White,26600,3,3.2,26.0,2023,,968.61
Voltas,White,48490,,,35.0,,,
CARRIER,White,39490,4,3.3,42.0,,1.5,1114.71
Godrej,White,39999,5,4.2,27.0,,1.5,1049.79
Blue,White,33790,3,3.8,24.0,2023,1.5,752.43
Godrej,White,40800,5,4.5,21.0,,1.5,1123.23
Kelvinator,White,33499,3,,32.0,,1.5,577.43
Panasonic,White,34950,3,,27.0,2023,,824.08
Hitachi,White,23236,3,3.9,32.0,,1.5,1050.84
CARRIER,White,38680,2,,37.0,,1.5,1123.23
Blue,White,37999,5,4.2,35.0,,,624.48
Mitsubishi,White,37500,,,18.0,,0.8,962.49
Whirlpool,White,43500,,4.3,20.0,,1.5,624.48
SAMSUNG,White,45999,3,4.2,41.0,,,1123.77
LG,White,46990,5,4.2,39.0,,1.5,
Voltas,White,44500,5,4.3,35.0,,1.5,686.48
Daikin,White,56996,3,3.9,25.0,,1.8,
LG,White,38250,5,,51.0,2023,,
Hitachi,White,49300,5,2.8,25.0,,1.5,
Voltas,White,27490,3,4.3,36.0,,1.5,704.42
Lloyd,White,29989,3,5,11.0,,,1134.28
LG,White,49990,5,,16.0,,1.5,589.14
CARRIER,White,53400,3,,35.0,,,1015.62
Blue,,39990,3,3.7,37.0,2023,1.5,
Hitachi,White,36992,5,4,44.0,,1.5,968.61
Blue,White,29999,3,4.1,20.0,,1.5,
